,user_txt,user_id
0,travel,0
1,foolani,1
2,Gnarly,2
3,r0ach,3
4,CHVNX,4
5,VeganZombie,5
6,Random832,6
7,khem_,7
8,pinebei,8
9,AVUKATKORHAN,9
10,neil_ubuntu,10
11,jblake,11
12,sexy_ja,12
13,typhon_,13
14,napnaop,14
15,AxonetBE,15
16,ubuguy,16
17,hamza,17
18,pappan_,18
19,Skyrail,19
20,gamemakingdude,20
21,sandhya,21
22,anadon,22
23,neil_d,23
24,Saviq,24
25,nic,25
26,disik,26
27,K_Dallas,27
28,Tailsfan,28
29,DF3D2,29
30,mindloss,30
31,bluefrog,31
32,Spectator,32
33,vapermonkey00,33
34,gaygeek,34
35,incorperated,35
36,finalbeta_,36
37,kevo_tool,37
38,mick02,38
39,enbez,39
40,WordOfGod,40
41,tek-ops,41
42,enviouz,42
43,blocke,43
44,xentity1x,44
45,Mud|afk,45
46,lnxmad,46
47,kujiu,47
48,mr_luko,48
49,kylin_,49
50,MattJ,50
51,Syntux,51
52,HEP85,52
53,Kurza,53
54,notfrosty,54
55,Wasgood_,55
56,Keybuk,56
57,Jakey2,57
58,mpq,58
59,crolle_,59
60,mmichelli,60
61,jamie,61
62,krywk,62
63,kairu0,63
64,Casper_,64
65,zzach,65
66,SilfenX,66
67,m1chael,67
68,NickNackGus,68
69,lelznot,69
70,imka,70
71,zxccvb,71
72,vmarcetic,72
73,spO,73
74,mindamp,74
75,yblangkubu,75
76,metroman,76
77,Amaranth,77
78,L3top,78
79,mdanielk,79
80,Silicium,80
81,VigoFusion,81
82,huwenfeng,82
83,theTroy,83
84,millennia,84
85,oldman,85
86,franendar_,86
87,nugroho,87
88,Guest399,88
89,salvatore_,89
90,BWorld,90
91,jadaz87,91
92,Bronko,92
93,Nicolaidis,93
94,nouri,94
95,ArNezT,95
96,chadeldridge,96
97,smiler,97
98,AptGetter,98
99,nd_,99
100,DarkTower,100
101,Dame,101
102,phoenixz,102
103,h-_-_-,103
104,linz,104
105,malcore,105
106,tobi,106
107,southside,107
108,peter100,108
109,hummahumma,109
110,heyD,110
111,ibm43,111
112,oldjohn,112
113,buker,113
114,Kelbizzle,114
115,ldlework,115
116,OY1R,116
117,RBV,117
118,high-hat,118
119,k23,119
120,ultratek,120
121,werdnum,121
122,villesoini,122
123,dave__,123
124,mati_,124
125,mitchelwb,125
126,ggibeau,126
127,sasho,127
128,Sav,128
129,gbellmann,129
130,sid,130
131,webbi,131
132,acetakwas,132
133,jm__,133
134,Dead_Link,134
135,BOOBOOBOOBOOBOO,135
136,bqmassey,136
137,cyf3r,137
138,Grub,138
139,nophis,139
140,whoaitsphil,140
141,Jokkaa[Tux],141
142,heliotrope,142
143,mikelinux,143
144,webben,144
145,EagleScreen,145
146,goldfinger,146
147,ehsh,147
148,pukeko,148
149,enzotib,149
150,hobomo,150
151,ubuntu__,151
152,gas,152
153,Misterio,153
154,platypus,154
155,Walex2,155
156,ill,156
157,xtbgod,157
158,Downix,158
159,becom33,159
160,eth42,160
161,kqr1,161
162,cccasket,162
163,nauj27,163
164,siropio,164
165,Reacto,165
166,kerpal,166
167,filsuf,167
168,Kinch2,168
169,lupine_85,169
170,lungan,170
171,RedNifre_install,171
172,shaft0,172
173,tefera,173
174,bcurtiswx,174
175,budo,175
176,drecute,176
177,tomtomgps,177
178,Eliona23,178
179,MrRB,179
180,magez_,180
181,UrielVigilant,181
182,mrosmrducks,182
183,ogist,183
184,mrdk,184
185,thevaliantx,185
186,soloact_,186
187,trans_err,187
188,eob84,188
189,waldo_,189
190,i386,190
191,Maikshit,191
192,pkern,192
193,overmind,193
194,NoOneImportant,194
195,lab21,195
196,[globa|fin],196
197,Mr-BibsoN,197
198,sebas_,198
199,madura,199
200,OccupyDemonoid,200
201,mirco,201
202,agent_white,202
203,debianbeing,203
204,krkelly_,204
205,k1gwb,205
206,jaranGoyang,206
207,Kinshuk,207
208,derspankster,208
209,srepfler,209
210,jazzykay,210
211,DJ_Mirage,211
212,Ramses,212
213,The_Isle_of_Mark,213
214,mendoza,214
215,FauxFaux,215
216,checoimg,216
217,blkthndr,217
218,robertj,218
219,arlekin,219
220,Duzzy,220
221,demonic_fury,221
222,FR500,222
223,Lynoure,223
224,oztrout,224
225,futurist,225
226,william__,226
227,dannyr,227
228,Kiril,228
229,RainCT,229
230,Phoenixz,230
231,DonkeyHotei,231
232,dducko,232
233,Psil0cybin,233
234,jw_606,234
235,maswan,235
236,LnxGnome,236
237,quietone,237
238,tuchha12,238
239,uday,239
240,benzrf,240
241,Deskarano,241
242,trinikrono,242
243,method|,243
244,tnkhanh,244
245,Guest97014,245
246,Guest51006,246
247,Deanodriver,247
248,Guest96017,248
249,dawkirst,249
250,tifine,250
251,silvernode,251
252,ubunoob,252
253,masse|deferred,253
254,orionjoe,254
255,Hunter^^^,255
256,TheProvider,256
257,jussi01,257
258,newdan,258
259,slid3r,259
260,Hoxzer_,260
261,flavioribeiro,261
262,yyx,262
263,TheOneMenzie,263
264,Mathman,264
265,sskniranjan,265
266,cyborg_ninja,266
267,Jigal,267
268,hs_,268
269,b,269
270,ska-fan,270
271,felixfoertsch,271
272,mgallant,272
273,iridium,273
274,edheldil,274
275,Cynic_AU,275
276,RabidWeezle,276
277,vladuz976,277
278,peepsalot,278
279,emj,279
280,thebrasse,280
281,Technicus,281
282,ekontsevoy,282
283,test,283
284,hayden,284
285,blckfx,285
286,lenix__,286
287,jhutchins_wk,287
288,iscorpion,288
289,Ziber,289
290,dag_,290
291,lucychili,291
292,aa_Gaurav,292
293,to0om,293
294,nasir,294
295,reenignEesreveR,295
296,peacho,296
297,vegalabs,297
298,Khrajin|sleep,298
299,benh,299
300,andros,300
301,dotDeb,301
302,pero,302
303,thomo,303
304,the_nic,304
305,Lo_Pan,305
306,waterbaby,306
307,Netes,307
308,Aleksejs,308
309,dwakar,309
310,atripathi,310
311,Spaceman,311
312,yanwei_,312
313,zeitsofa,313
314,carsten,314
315,xTEMPLARx_,315
316,hdxx,316
317,alk,317
318,cion,318
319,Slaj_R,319
320,|denis||,320
321,EddieDied,321
322,crimsun_,322
323,lampshade,323
324,day,324
325,ironmatar,325
326,anon33_,326
327,ImagistTD,327
328,fidel,328
329,syphirx,329
330,like,330
331,kaolaBuntuPH,331
332,HiddenWolf,332
333,Viking667,333
334,vertx,334
335,pdc303,335
336,banlieue,336
337,Noq^,337
338,fredrik_,338
339,pyrak,339
340,Pir8,340
341,Pandora,341
342,the^user,342
343,Touhou11,343
344,NathanWW,344
345,funkt,345
346,ircusr,346
347,astartoth,347
348,Serano,348
349,deadweasel,349
350,UserError,350
351,Gokul,351
352,tata,352
353,dark_fibre,353
354,dustinspringman,354
355,sontek,355
356,arjunak01,356
357,slvmchn,357
358,Goshawk_,358
359,Pygi,359
360,abb4s,360
361,fego,361
362,yeats,362
363,msx,363
364,Dormot,364
365,bestdnd,365
366,Dubacco,366
367,ferronica,367
368,crepple,368
369,duncanm,369
370,TheoPast,370
371,dellos,371
372,Guest51522,372
373,Xilo,373
374,Guest91156,374
375,rainbowwarrior,375
376,catherine_,376
377,hcuet,377
378,Awolf_,378
379,Riberi79,379
380,Thelma,380
381,nue2ubuntu,381
382,Joen,382
383,xiximkopp,383
384,henkpoley,384
385,Guest35688,385
386,amitprakash,386
387,blbrown_win3,387
388,bob2,388
389,pr0zac,389
390,windmill,390
391,nintendoman64,391
392,_yee,392
393,tami,393
394,ubox,394
395,Myrtti,395
396,HelpMe,396
397,lightpriest,397
398,J-_,398
399,thanatos_,399
400,pp7,400
401,chrissturm,401
402,msikma,402
403,Byan,403
404,ilw,404
405,DATmafia,405
406,MooreJohn90,406
407,Paladine,407
408,J-W,408
409,rubic,409
410,sheer,410
411,llindy,411
412,josh__,412
413,VanDyke,413
414,dj_segfault,414
415,zaijvjs,415
416,linuxgeekery,416
417,blocky_,417
418,Co2,418
419,el,419
420,amonkey,420
421,the_lord,421
422,upstairss,422
423,baz,423
424,exploits,424
425,christian1222,425
426,someothernick,426
427,ryjyd,427
428,cMad_,428
429,Xera,429
430,Br34ch,430
431,axl,431
432,sandhu,432
433,Siberian_Tiger,433
434,enzo,434
435,ian_,435
436,j_j,436
437,NeoSHODAN,437
438,xtetox,438
439,Nasra,439
440,imaginaryboy,440
441,Herbs,441
442,tpelton,442
443,damy[ubuntu],443
444,Somelauw,444
445,adjioev,445
446,barry,446
447,michalski,447
448,extrexm_,448
449,gossedu972,449
450,wingnut2626,450
451,ndray,451
452,shipitkthx,452
453,aleswy,453
454,mena,454
455,nova,455
456,rgravener,456
457,djk_,457
458,sexonfire,458
459,light50,459
460,reel_,460
461,Guest78725,461
462,ubo0,462
463,U-Gutsy-Gibbon,463
464,littleworm,464
465,CrocoJet,465
466,_du,466
467,prince,467
468,BlackDex,468
469,twoSharp,469
470,efren30,470
471,fancyfetus,471
472,bntly,472
473,shoss,473
474,sfuvcmq,474
475,bazzzb,475
476,Trenter_,476
477,cwillu,477
478,jamal,478
479,elisboa,479
480,Nozy,480
481,skorv,481
482,I-W-A-N,482
483,Lathiat,483
484,christoffer,484
485,napnap,485
486,linux_wd,486
487,keikoz,487
488,handuel,488
489,icebird,489
490,mrsmart,490
491,Hiz,491
492,ioxon,492
493,gfallbackjcbv,493
494,walent,494
495,speedrunnerG55,495
496,IcemanV9,496
497,TGIBT,497
498,Nightwatch,498
499,pagios,499
500,tzd,500
501,ttt--,501
502,synic,502
503,chamunks,503
504,cicle,504
505,Cooner750,505
506,Blinkiz,506
507,jeroenimo,507
508,scompalp,508
509,camerong,509
510,Gamefire^,510
511,lord_daemon,511
512,Sysi,512
513,HoldenManiaC,513
514,losthorizons,514
515,Centallith,515
516,tsousa,516
517,SeaRunner,517
518,Dr_Buddha,518
519,dinamizador,519
520,Mukhthar,520
521,t38,521
522,crasher,522
523,spola,523
524,JusticeZero,524
525,Guest26876,525
526,hiwk,526
527,jackhum,527
528,s7rawman_,528
529,venik,529
530,sysop2,530
531,ledmushroom,531
532,Duesentrieb,532
533,MK`,533
534,eipi-1_,534
535,zerocom,535
536,profoX`,536
537,psych0_therapist,537
538,dazzed,538
539,Janhouse,539
540,hunahpu,540
541,bilel,541
542,NoEvidenZ,542
543,kiamo,543
544,mangusta,544
545,skipmeister,545
546,jink,546
547,viamptor,547
548,AZ0R,548
549,vvH1p|a5h,549
550,oscar76,550
551,aniket,551
552,dregin,552
553,darkmarby,553
554,TFP,554
555,nuSharper,555
556,phawx,556
557,Kungen354646,557
558,ax562,558
559,wylde,559
560,AndreeeCZ,560
561,Stroganoff,561
562,binarywork,562
563,BHoward,563
564,ghosTM55,564
565,ricperry-ubuntu-,565
566,m,566
567,ztomic,567
568,beg1689,568
569,gochilla,569
570,frying_fish,570
571,MrProper_,571
572,Spartan,572
573,Speek,573
574,RyanPrior,574
575,Conny,575
576,kr3w,576
577,jesuel,577
578,indigirl1,578
579,Enverex,579
580,gott3rfunk3n83,580
581,Jace_,581
582,r007,582
583,Long,583
584,proq,584
585,DawnLight,585
586,r00tintheb0x,586
587,Allen_Oaks,587
588,Treekill,588
589,Telroth_Plushie|,589
590,stormchas3r,590
591,what1,591
592,boiboite,592
593,sveinse,593
594,_gpg_,594
595,Bilford,595
596,blumm,596
597,starcannon,597
598,jurgis_t,598
599,blakdog,599
600,Escuro,600
601,_kad,601
602,ddilinger,602
603,LordDragon,603
604,kairos,604
605,eXistenZ,605
606,smokeyd,606
607,rabo,607
608,Gokee2_,608
609,tmccrary,609
610,iblicf,610
611,SilentDis,611
612,Gnutoo,612
613,krz_,613
614,guenots,614
615,sleepingfox,615
616,tweakism_,616
617,toresn,617
618,eikon81g,618
619,mosx1,619
620,asdf,620
621,jacudd,621
622,Nvveen,622
623,tyuiope,623
624,zulfiqar,624
625,dutchbuntu,625
626,MaRk-I,626
627,esjay,627
628,OldMan,628
629,bivo,629
630,Ululus,630
631,stephen613,631
632,del4,632
633,cbs,633
634,mykil,634
635,pdg1,635
636,Deepthought,636
637,Frood,637
638,esing,638
