,raw,timestamp,user,message,file_ind
0,"[02:51] <Seveas> pfp, better use shutdown...",02:51,Seveas," pfp, better use shutdown...",0
1,[02:51] <Ironfrost> thanks both of you,02:51,Ironfrost, thanks both of you,1
2,"[02:51] <HawkeVIPER> pfp, halt/reboot is insecure",02:51,HawkeVIPER," pfp, halt/reboot is insecure",2
3,[02:51] <Ironfrost> I'll make a shortcut to that and just use that to shutdown,02:51,Ironfrost, I'll make a shortcut to that and just use that to shutdown,3
4,"[02:51] <Ubuntian> i3dmaster, oh thanks a lot i was wondering what the difference was",02:51,Ubuntian," i3dmaster, oh thanks a lot i was wondering what the difference was",4
5,"[02:51] <pfp> hmm, afaik halt uses shutdown (?)",02:51,pfp," hmm, afaik halt uses shutdown (?)",5
6,"[02:51] <Seveas> pfp, yes, so why use halt :)",02:51,Seveas," pfp, yes, so why use halt :)",6
7,"[02:52] <Seveas> Ironfrost, use gksudo then",02:52,Seveas," Ironfrost, use gksudo then",7
8,[02:52] <shanon> Is any one here using ffmpeg for encoding ?,02:52,shanon, Is any one here using ffmpeg for encoding ?,8
9,"[02:52] <pfp> shorter, and it sounds good :)",02:52,pfp," shorter, and it sounds good :)",9
10,[02:52] <Ng> HawkeVIPER: how are they insecure?,02:52,Ng, HawkeVIPER: how are they insecure?,10
11,"[02:52] <HawkeVIPER> pfp, only if the runlevel !=0/6",02:52,HawkeVIPER," pfp, only if the runlevel !=0/6",11
12,"[02:52] <Seveas> HawkeVIPER, ubuntus default runlevel is 2",02:52,Seveas," HawkeVIPER, ubuntus default runlevel is 2",12
13,[02:52] <HawkeVIPER> maybe these days they're ok,02:52,HawkeVIPER, maybe these days they're ok,13
14,[02:53] <Ironfrost> Seveas - gksudo?,02:53,Ironfrost, Seveas - gksudo?,14
15,"[02:53] <HawkeVIPER> back in the day, calling them directly was bad",02:53,HawkeVIPER," back in the day, calling them directly was bad",15
16,=== huerlisi [~shuerlima@212-41-113-251.adsl.solnet.ch]  has joined #ubuntu,,,,16
17,[02:53] <Ironfrost> (I've still got a lot to learn about Linux),02:53,Ironfrost, (I've still got a lot to learn about Linux),17
18,"[02:53] <Seveas> Ironfrost, GUI for sudo",02:53,Seveas," Ironfrost, GUI for sudo",18
19,"[02:53] <Ironfrost> OK, thanks!",02:53,Ironfrost," OK, thanks!",19
20,"[02:53] <pfp> HawkeVIPER: but 0 and 6 are halt/reboot, so you cant run anything in them anyway",02:53,pfp," HawkeVIPER: but 0 and 6 are halt/reboot, so you cant run anything in them anyway",20
21,=== xsdg_ is now known as xsdg,,,,21
22,=== xsdg [xsdg@xsdg.staff.freenode]  has joined #ubuntu,,,,22
23,=== Ironfrost [~adsfkjask@82-36-124-129.cable.ubr04.king.blueyonder.co.uk]  has left #ubuntu [],,,,23
24,=== Chameleon22 [~Chameleon@60-240-237-137-vic-pppoe.tpgi.com.au]  has joined #ubuntu,,,,24
25,=== Jonex [~Jonex@217.145.28.242]  has joined #ubuntu,,,,25
26,=== din [~din@24.144.4.35]  has joined #ubuntu,,,,26
27,=== shinu_ is now known as shinu,,,,27
28,=== afonit [~afonit@199.72.169.10]  has joined #ubuntu,,,,28
29,"[02:55] <Jonex> If I have ideas on how to inprove the installations interface, would anyone bother to care?",02:55,Jonex," If I have ideas on how to inprove the installations interface, would anyone bother to care?",29
30,[02:56] <Hatred> lol,02:56,Hatred, lol,30
31,=== deng [~virtuaL@218.111.55.185]  has joined #ubuntu,,,,31
32,"[02:56] <kev0r> for ((i=""00"";i<10;i++));do echo $i;done",02:56,kev0r," for ((i=""00"";i<10;i++));do echo $i;done",32
33,[02:56] <kev0r> this line boosts 0-9 on screen,02:56,kev0r, this line boosts 0-9 on screen,33
34,[02:56] <kev0r> how can i make it do 00-09?,02:56,kev0r, how can i make it do 00-09?,34
35,[02:56] <kev0r> so if i do i<50 it echos 00-50,02:56,kev0r, so if i do i<50 it echos 00-50,35
36,[02:57] <kev0r> 49 even,02:57,kev0r, 49 even,36
37,[02:57] <kev0r> OBO's suck ;),02:57,kev0r, OBO's suck ;),37
38,=== tuppa [~tuppa@c211-30-44-38.mirnd1.nsw.optusnet.com.au]  has joined #ubuntu,,,,38
39,[02:57] <pfp> kev0r: use printf instead of echo,02:57,pfp, kev0r: use printf instead of echo,39
40,[02:57] <tuppa> thom: around?,02:57,tuppa, thom: around?,40
41,[02:58] <tuppa> or anyone knows about acpid and acpi-support,02:58,tuppa, or anyone knows about acpid and acpi-support,41
42,"[02:58] <reka> hello.  on boot-up, a check of the root filesystem was done (i had that countdown that tells you it will check in 'x' mounts) and errors were found. i ran fsck. and a lot of errors were found.  i said yes to all the fixes and everything seems normal.  question: why did it find errors?  afaik, i haven't done anything risky (haven't updated kernel or anything).",02:58,reka," hello.  on boot-up, a check of the root filesystem was done (i had that countdown that tells you it will check in 'x' mounts) and errors were found. i ran fsck. and a lot of errors were found.  i said yes to all the fixes and everything seems normal.  question: why did it find errors?  afaik, i haven't done anything risky (haven't updated kernel or anything).",42
